Country,Internet
Qatar,109.57
Luxembourg,173.16
Singapore,262.2
Brunei,33.94
Ireland,117.4
United Arab Emirates,195.11
Kuwait,141.42
Switzerland,222
San Marino,114.24
Norway,161.61
